,State,Station,Spoke ,address,gmap_latitude,gmap_longitude
65,Karnataka,Challakere,FMCG-CHALLAKERE - ER,"Challakere, Karnataka",14.313395,76.6528225
66,Karnataka,Ramnagara,FMCG-RAMNAGAR - ER,"Ramnagara, Karnataka",12.7208614,77.27989629999999
67,Karnataka,Jamkhandi,FMCG-JAMKHANDI - ER,"Jamkhandi, Karnataka",16.5043199,75.2917512
68,Karnataka,Sindagi,FMCG-SINDAGI - ER,"Sindagi, Karnataka",16.9172558,76.2334278
69,Karnataka,Lingsugur,FMCG-LINGSUGUR - ER,"Lingsugur, Karnataka",16.1550404,76.5199195
70,Karnataka,Humnabad,FMCG-HUMNABAD - ER,"Humnabad, Karnataka",17.7682755,77.1312586
71,Andhra Pradesh,GUDIVADA (ANDHRA PRADESH),FMCG-GUDIVADA - ER,"GUDIVADA (ANDHRA PRADESH), Andhra Pradesh",16.4344461,80.9931388
72,Andhra Pradesh,Mangalagiri,FMCG-MANGALAGIRI - ER,"Mangalagiri, Andhra Pradesh",16.4345712,80.5662454
73,Andhra Pradesh,Narasannapeta,FMCG-NARASANNAPETA - ER,"Narasannapeta, Andhra Pradesh",18.4163638,84.0459255
74,Andhra Pradesh,Tanuku,FMCG-TANUKU - ER,"Tanuku, Andhra Pradesh",16.7565815,81.6769714
75,Andhra Pradesh,Anakapalle,FMCG-ANAKAPALLE - ER,"Anakapalle, Andhra Pradesh",17.6896435,83.0023634
76,Andhra Pradesh,Srikalahasti,FMCG-SRIKALAHASTI - ER,"Srikalahasti, Andhra Pradesh",13.7527145,79.7066722
77,Andhra Pradesh,PRODDATUR,FMCG-PRODDATUR - ER,"PRODDATUR, Andhra Pradesh",14.752624,78.5541053
78,Andhra Pradesh,Chittoor,FMCG-CHITTOOR - ER,"Chittoor, Andhra Pradesh",13.217176,79.1003289
79,Andhra Pradesh,TADPATRI,FMCG-TADIPATRI - ER,"TADPATRI, Andhra Pradesh",14.9091024,78.0092047
80,Andhra Pradesh,Rayachoti,FMCG-RAYACHOTI - ER,"Rayachoti, Andhra Pradesh",14.0586263,78.7519382
81,Andhra Pradesh,RAMACHANDRAPURAM,FMCG-DRAKSHARAMAM - ER,"RAMACHANDRAPURAM, Andhra Pradesh",16.8372408,82.03254009999999
82,Andhra Pradesh,Nellimarla,FMCG-NELLIMARLA - ER,"Nellimarla, Andhra Pradesh",18.164904,83.4510164
83,Andhra Pradesh,Penukonda,FMCG-PENUKONDA - ER,"Penukonda, Andhra Pradesh",14.0844312,77.5973233
84,Andhra Pradesh,Markapur,FMCG-MARKAPUR - ER,"Markapur, Andhra Pradesh",15.7361535,79.269125
85,Andhra Pradesh,Nellore,FMCG-NELLORE - ER,"Nellore, Andhra Pradesh",14.4425987,79.98645599999999
86,Andhra Pradesh,Kandukur,FMCG-KANDUKUR - ER,"Kandukur, Andhra Pradesh",15.219717,79.9024779
87,Andhra Pradesh,Narasaraopet,FMCG-NARASARAOPET - ER,"Narasaraopet, Andhra Pradesh",16.2359181,80.04964989999999
88,Odisha,Cuttack,FMCG-CUTTACK - ER,"Cuttack, Odisha",20.462521,85.8829895
89,Odisha,Rairangpur,FMCG-RAIRANGPUR - ER,"Rairangpur, Odisha",22.2709322,86.1700894
90,Odisha,Anugul,FMCG-ANUGUL - ER,"Anugul, Odisha",20.8444033,85.1510818
91,Odisha,Bhawanipatna,FMCG-BHAWANIPATNA - ER,"Bhawanipatna, Odisha",19.9074279,83.1641562
92,Odisha,Berhampur,FMCG-BRAHMAPUR - ER,"Berhampur, Odisha",19.3149618,84.7940911
93,Odisha,Sambalpur,FMCG-CO-SAMBALPUR - ER,"Sambalpur, Odisha",21.4668716,83.9811665
94,Odisha,Mangalpur,FMCG-MANGALPUR - ER,"Mangalpur, Odisha",20.8096907,86.51860219999999
95,Odisha,Boudh,FMCG-BOUDH - ER,"Boudh, Odisha",20.8418205,84.3200184
96,Odisha,Balangir,FMCG-BALANGIR - ER,"Balangir, Odisha",20.7011108,83.4846069
97,Odisha,Bhadrak,FMCG-BHADRAK - ER,"Bhadrak, Odisha",21.0573616,86.4962996
