,State,Station,Spoke ,address,gmap_latitude,gmap_longitude
241,Madhya Pradesh,Hoshangabad,FMCG-HOSHANGABAD - ER,"Hoshangabad, Madhya Pradesh",22.7518961,77.7288655
242,Madhya Pradesh,Vidisha,FMCG-VIDISHA - ER,"Vidisha, Madhya Pradesh",23.5235719,77.81397179999999
243,Madhya Pradesh,Indore,FMCG-INDORE - ER,"Indore, Madhya Pradesh",22.7195687,75.8577258
244,Madhya Pradesh,Jabalpur,FMCG-JABALPUR - ER,"Jabalpur, Madhya Pradesh",23.1685786,79.9338798
245,Madhya Pradesh,Sagar (MP),FMCG-SAGAR - ER,"Sagar (MP), Madhya Pradesh",23.838805,78.7378068
246,Madhya Pradesh,Satna,FMCG-SATNA - ER,"Satna, Madhya Pradesh",24.6005075,80.8322428
247,Madhya Pradesh,Khandwa,FMCG-KHANDWA - ER,"Khandwa, Madhya Pradesh",21.8314037,76.3497612
248,Madhya Pradesh,Mandsaur,FMCG-MANDSAUR - ER,"Mandsaur, Madhya Pradesh",24.0734356,75.0679018
249,Chhattisgarh,Rajnandgaon,FMCG-RAJNANDGAON - ER,"Rajnandgaon, Chhattisgarh",21.0976046,81.0337066
250,Chhattisgarh,Durg,FMCG-DURG - ER,"Durg, Chhattisgarh",21.1904494,81.2849169
251,Chhattisgarh,Raipur,FMCG-RAIPUR - ER,"Raipur, Chhattisgarh",21.2513844,81.62964130000002
252,Chhattisgarh,Kawardha,FMCG-KAWARDHA - ER,"Kawardha, Chhattisgarh",22.0106092,81.23592819999999
253,West Bengal,Basirhat,FMCG-BASIRHAT - ER,"Basirhat, West Bengal",22.6590646,88.85720470000001
254,West Bengal,Siliguri,FMCG-SILIGURI - ER,"Siliguri, West Bengal",26.7271012,88.39528609999999
255,West Bengal,Haldia,FMCG-HALDIA - ER,"Haldia, West Bengal",22.0627164,88.0832934
256,West Bengal,Tarakeswar,FMCG-TARAKESWAR - ER,"Tarakeswar, West Bengal",22.8786554,88.01429399999999
257,West Bengal,Barddhaman,FMCG-BARDDHAMAN - ER,"Barddhaman, West Bengal",23.2324214,87.8614793
258,West Bengal,Jalpaiguri,FMCG-JALPAIGURI - ER,"Jalpaiguri, West Bengal",26.5214579,88.7195567
259,West Bengal,Cooch behar,FMCG-COOCH BEHAR - ER,"Cooch behar, West Bengal",26.3452397,89.4482079
260,West Bengal,Sainthia,FMCG-SAINTHIA - ER,"Sainthia, West Bengal",23.9486953,87.679312
261,West Bengal,Bankura,FMCG-BANKURA - ER,"Bankura, West Bengal",23.2312686,87.07838749999999
262,West Bengal,Purulia,FMCG-PURULIA - ER,"Purulia, West Bengal",23.2482587,86.49965460000001
263,West Bengal,Contai,FMCG-CONTAI - ER,"Contai, West Bengal",21.778109,87.7517427
264,West Bengal,Raghunathpur,FMCG-RAGHUNATHPUR - ER,"Raghunathpur, West Bengal",23.5343795,86.6686635
265,West Bengal,Kolaghat,FMCG-KOLAGHAT - ER,"Kolaghat, West Bengal",22.4352325,87.8606813
266,West Bengal,Berhampore,FMCG-BERHAMPORE - ER,"Berhampore, West Bengal",24.0982607,88.268411
267,West Bengal,Baruipur,FMCG-BARUIPUR - ER,"Baruipur, West Bengal",22.3599251,88.43254619999999
268,West Bengal,Dhupguri,FMCG-DHUPGURI - ER,"Dhupguri, West Bengal",26.5821321,89.0051441
269,West Bengal,HABRA,FMCG-HABRA - ER,"HABRA, West Bengal",22.8408094,88.6535105
270,West Bengal,Ranaghat,FMCG-RANAGHAT - ER,"Ranaghat, West Bengal",23.1744548,88.5605732
271,West Bengal,Malda,FMCG-MALDA - ER,"Malda, West Bengal",25.0108408,88.14109669999999
272,West Bengal,RAMPURHAT,FMCG-RAMPURHAT - ER,"RAMPURHAT, West Bengal",24.1744845,87.7793421
273,West Bengal,Katwa,FMCG-KATWA - ER,"Katwa, West Bengal",23.6403783,88.1299373
274,West Bengal,Bethuadahari,FMCG-BETHUADAHARI - ER,"Bethuadahari, West Bengal",23.5989344,88.39731789999999
275,West Bengal,Medinipur,FMCG-MEDINIPUR - ER,"Medinipur, West Bengal",22.4256613,87.3198819
276,West Bengal,Lalgola,FMCG-LALGOLA - ER,"Lalgola, West Bengal",24.4133349,88.26071879999999
277,West Bengal,Canning,FMCG-CANNING - ER,"Canning, West Bengal",22.3103729,88.65789679999999
278,West Bengal,Raniganj,FMCG-RANIGANJ - ER,"Raniganj, West Bengal",23.6233888,87.1142646
279,Maharashtra,Amalner,FMCG-AMALNER - ER,"Amalner, Maharashtra",21.0419208,75.0581943
280,Maharashtra,Chalisgaon,FMCG-CHALISGAON - ER,"Chalisgaon, Maharashtra",20.4619475,75.00632879999999
281,Maharashtra,Akola,FMCG-AXKL - ER,"Akola, Maharashtra",20.7002159,77.0081678
282,Maharashtra,Jalgaon,FMCG-JALGAON_JAMOD - ER,"Jalgaon jamod, Maharashtra",21.0474594,76.5314817
283,Maharashtra,Morshi,FMCG-MORSHI - ER,"Morshi, Maharashtra",21.3241951,78.0138306
284,Maharashtra,Shevgaon,FMCG-SHEVGAON - ER,"Shevgaon, Maharashtra",19.350367,75.21937199999999
